Name4,SName4,Family4,Genus4,Species4,Native4,Naturalized4,CoC4,Endemic4,Persisting4,Category4,Habitat4,GrowthHabit4,Duration4,Status_State4,Status_US4,Scientific_Name_With_Authors,Species_Author,Infraspecies,Infraspecies_Author
bladdernut,Staphylea trifolia,Staphyleaceae,Staphylea,trifolia,Y,,7,N,Y,Vascular,Rocky forests. rock outcrops. thin soils on exposed calcareous bedrock. banks of forested streams. and mesic forests (particularly floodplain forests) and thickets. Prefers dry to mesic highly calcareous sites but when in rocky forested sites it may not be as strong of a calciphile.,Tree. Shrub,Perennial,,,Staphylea trifolia L.,L.,,
grass-leaved starwort. grass-leaved stitchwort,Stellaria graminea,Caryophyllaceae,Stellaria,graminea,N,Y,,N,Y,Vascular,Most common in hayfields. pastures. successional fields. and open herb dominated habitats. Also stream edges. shrublands. young forests. openings in forests. and various other habitats. Usually moist to sometimes at least seasonally wet soils and clearly preferring open habitats but occasionally persisting or occurring in slightly shaded habitats.,Forb/herb,Perennial,,,Stellaria graminea L.,L.,,
long-leaved starwort. long-leaved stitchwort,Stellaria longifolia,Caryophyllaceae,Stellaria,longifolia,Y,,4,N,Y,Vascular,,Forb/herb,Perennial,,,Stellaria longifolia Muhl. ex Willd.,Muhl. ex Willd.,,
common chickweed,Stellaria media,Caryophyllaceae,Stellaria,media,N,Y,,N,Y,Vascular,Very common weed of cultivated ground. disturbed soils. waste places including urban settings. fields. and sometimes in openings of forested areas.,Herbaceous,Annual,,,Stellaria media (L.) Vill.,(L.) Vill.,,
rose twisted stalk. rose mandarin,Streptopus lanceolatus,Liliaceae,Streptopus,lanceolatus,Y,,8,N,Y,Vascular,Cool mesic hardwood and hardwood-coniferous forests. Most common in the coolest and more northern parts of New York.,Herbaceous,Perennial,,,Streptopus lanceolatus (Aiton) Reveal,(Aiton) Reveal,,
annual woolly bean,Strophostyles helvola,Fabaceae,Strophostyles,helvola,Y,,2,N,Y,Vascular,,Herbaceous,Annual,,,Strophostyles helvola (L.) Elliott,(L.) Elliott,,
thread-leaved pondweed,Stuckenia filiformis,Potamogetonaceae,Stuckenia,filiformis,Y,,10,N,Y,Vascular,,Herbaceous,Perennial,Endangered-State,,Stuckenia filiformis (Pers.) Borner,(Pers.) Borner,,
Sago pondweed,Stuckenia pectinata,Potamogetonaceae,Stuckenia,pectinata,Y,,2,N,Y,Vascular,Shallow water of ponds. lakes and slow moving streams.,Forb/herb,,,,Stuckenia pectinata (L.) Borner,(L.) Borner,,
common snowberry,Symphoricarpos albus var. albus,Caprifoliaceae,Symphoricarpos,albus,Y,,8,N,Y,Vascular,Dry thin rocky forests and woodlands.,Subshrub. Shrub,Perennial,,,Symphoricarpos albus (L.) S.F. Blake var. albus,(L.) S.F. Blake,var. albus,
northern bog aster,Symphyotrichum boreale,Asteraceae,Symphyotrichum,boreale,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,Threatened-State,,Symphyotrichum boreale (Torr. & A. Gray) a. Love & D. Love,(Torr. & A. Gray) a. Love & D. Love,,
rayless alkali aster,Symphyotrichum ciliatum,Asteraceae,Symphyotrichum,ciliatum,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Symphyotrichum ciliatum (Ledeb.) G.L. Nesom,(Ledeb.) G.L. Nesom,,
heart-leaved aster,Symphyotrichum cordifolium,Asteraceae,Symphyotrichum,cordifolium,Y,,4,N,Y,Vascular,Thin forests. woodlands. edges of forests. trails and paths in forests. rocky slopes. and disturbed soils. Perhaps its preferred habitat is along edges of forests where it gets a lot of light but herbaceous competition is minimal.,Forb/herb,Perennial,,,Symphyotrichum cordifolium (L.) G.L. Nesom,(L.) G.L. Nesom,,
heath aster,Symphyotrichum ericoides var. ericoides,Asteraceae,Symphyotrichum,ericoides,Y,,1,N,Y,Vascular,,Forb/herb,Perennial,,,Symphyotrichum ericoides (L.) G.L. Nesom var. ericoides,(L.) G.L. Nesom,var. ericoides,
smooth aster,Symphyotrichum laeve var. laeve,Asteraceae,Symphyotrichum,laeve,Y,,2,N,Y,Vascular,Dry rocky forested slopes. woodlands. edges of forests. roadsides. occasionally fields. and thickets. Does particularly well in calcareous soils.,Forb/herb,Perennial,,,Symphyotrichum laeve (L.) a. Love & D. Love var. laeve,(L.) a. Love & D. Love,var. laeve,
lance-leaved aster,Symphyotrichum lanceolatum var. lanceolatum,Asteraceae,Symphyotrichum,lanceolatum,Y,,1,N,Y,Vascular,Floodplain forests and thickets. successional fields. wet forests. swamps. stream banks. roadsides. and ditches. A vigorous spreader this species is quite weedy and has long rhizomes that can form large clonal patches. It grows in a variety of habitats from dry to wet and from open to shaded.,Forb/herb,Perennial,,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom var. lanceolatum,(Willd.) G.L. Nesom,var. lanceolatum,
calico aster,Symphyotrichum lateriflorum,Asteraceae,Symphyotrichum,lateriflorum,Y,,0,N,Y,Vascular,Successional fields. roadsides. woodlands. openings in forests. disturbed areas. and less frequently on stream banks and in swamps.,Forb/herb,Perennial,,,Symphyotrichum lateriflorum (L.) a. Love & D. Love,(L.) a. Love & D. Love,,
Lowrie s aster,Symphyotrichum lowrieanum,Asteraceae,Symphyotrichum,lowrieanum,Y,,4,N,Y,Vascular,Dry rocky forested slopes. edges of forests. and occasionally fields. This species resembles S. cordifolium although it is distinct and is much less frequent than S. cordifolium. Symphyotrichum lowrieanum perhaps prefers more calcareous. drier. and more open habitats than S. cordifolium.,Forb/herb,Perennial,,,Symphyotrichum lowrieanum (Porter) G.L. Nesom,(Porter) G.L. Nesom,,
New England aster,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,Y,,1,N,Y,Vascular,Successional fields. roadsides. and waste places. Frequently in dry to mesic sites and less frequently in wetter soils.,Herbaceous,Perennial,,,Symphyotrichum novae-angliae (L.) G.L. Nesom,(L.) G.L. Nesom,,
sky-blue aster,Symphyotrichum oolentangiense,Asteraceae,Symphyotrichum,oolentangiense,Y,,4,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Symphyotrichum oolentangiense (Riddell) G.L. Nesom,(Riddell) G.L. Nesom,,
common late purple aster,Symphyotrichum patens var. patens,Asteraceae,Symphyotrichum,patens,Y,,6,N,Y,Vascular,Rocky summits. woodlands. and dry rocky forested slopes. A southern species with us mostly in warmer and southern parts of NY.,Forb/herb,Perennial,,,Symphyotrichum patens (Aiton) G.L. Nesom var. patens,(Aiton) G.L. Nesom,var. patens,
frostweed aster,Symphyotrichum pilosum var. pilosum,Asteraceae,Symphyotrichum,pilosum,Y,,0,N,Y,Vascular,Roadsides. successional fields. pastures. waste places. and disturbed areas. A weedy species very commonly along roads and in disturbed soils.,Forb/herb,Perennial,,,Symphyotrichum pilosum (Willd.) G.L. Nesom var. pilosum,(Willd.) G.L. Nesom,var. pilosum,
Pringle s aster,Symphyotrichum pilosum var. pringlei,Asteraceae,Symphyotrichum,pilosum,Y,,0,N,Y,Vascular,Dry successional fields. utility line cuts. edges of forested areas. and roadsides. Compared to the typical variety. var. pringlei grows in drier sites with less herbaceous competition. and more often is in more native type habitats.,Forb/herb,Perennial,,,Symphyotrichum pilosum (Willd.) G.L. Nesom var. pringlei (A. Gray) G.L. Nesom,(Willd.) G.L. Nesom,var. pringlei,(A. Gray) G.L. Nesom
willow-leaved aster,Symphyotrichum praealtum,Asteraceae,Symphyotrichum,praealtum,Y,,8,N,Y,Vascular,,Herbaceous,Perennial,,,Symphyotrichum praealtum (Poir.) G.L. Nesom,(Poir.) G.L. Nesom,,
crooked-stemmed aster,Symphyotrichum prenanthoides,Asteraceae,Symphyotrichum,prenanthoides,Y,,3,N,Y,Vascular,Swamps. wet ditches. thickets. stream banks and gravel bars. and seepage areas. Usually in wet to wet-mesic soil or soils that are seasonally wet. Often with some amount of canopy cover although most robust in open sites.,Forb/herb,Perennial,,,Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L. Nesom,(Muhl. ex Willd.) G.L. Nesom,,
purple-stemmed aster,Symphyotrichum puniceum var. puniceum,Asteraceae,Symphyotrichum,puniceum,Y,,4,N,Y,Vascular,Swamps. marshes. fens. wet thickets. stream banks. and ditches. A common aster of various wetland types and usually not too weedy.,Forb/herb,Perennial,,,Symphyotrichum puniceum (L.) a. Love & D. Love var. puniceum,(L.) a. Love & D. Love,var. puniceum,
perennial saltmarsh aster,Symphyotrichum tenuifolium var. tenuifolium,Asteraceae,Symphyotrichum,tenuifolium,Y,,7,N,Y,Vascular,,Forb/herb,Perennial,Rare-State,,Symphyotrichum tenuifolium (L.) G.L. Nesom var. tenuifolium,(L.) G.L. Nesom,var. tenuifolium,
Tradescant s aster,Symphyotrichum tradescantii,Asteraceae,Symphyotrichum,tradescantii,Y,,9,N,Y,Vascular,,Herbaceous,Perennial,,,Symphyotrichum tradescantii (L.) G.L. Nesom,(L.) G.L. Nesom,,
arrow-leaved aster,Symphyotrichum urophyllum,Asteraceae,Symphyotrichum,urophyllum,Y,,1,N,Y,Vascular,Successional fields. openings in forests. and roadsides. Almost entirely a field species/ Late in the season its white panicles can easily be spotted poking above the other herbaceous vegetation.,Forb/herb,Perennial,,,Symphyotrichum urophyllum (Lindl.) G.L. Nesom,(Lindl.) G.L. Nesom,,
common comfrey,Symphytum officinale,Boraginaceae,Symphytum,officinale,N,Y,,N,Y,Vascular,Cultivated. persisting. and occasionally naturalized. Roadsides. successional fields. barnyards. pastures. and disturbed areas.,Forb/herb,Perennial,,,Symphytum officinale L.,L.,,
skunk cabbage,Symplocarpus foetidus,Araceae,Symplocarpus,foetidus,Y,,5,N,Y,Vascular,Seepage springs and slopes. swamps. and wet floodplain forests.  Symplocarpus foetidus is common in a variety of shaded wetlands although it does have a preference for cold seepage areas and mucky soils.,Forb/herb,Perennial,,,Symplocarpus foetidus (L.) Salisb. ex W.P.C. Barton,(L.) Salisb. ex W.P.C. Barton,,
yellow pimpernel,Taenidia integerrima,Apiaceae,Taenidia,integerrima,Y,,7,N,Y,Vascular,Thin forests. non weedy clearings and forest openings. rims of ravines. and shale talus slopes. The soils are often dry. rocky. and calcareous.  This species appears to need a lot of light to flower and become vigorous although it does not do well with herbaceous competition.  It also is much more abundant in calcareous regions.  Its habitat preferences are similar to Zizia aptera except perhaps for the preferences for calcareous sites.,Forb/herb,Perennial,,,Taenidia integerrima (L.) Drude,(L.) Drude,,
feverfew,Tanacetum parthenium,Asteraceae,Tanacetum,parthenium,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Tanacetum parthenium (L.) Sch. Bip.,(L.) Sch. Bip.,,
common tansy,Tanacetum vulgare,Asteraceae,Tanacetum,vulgare,N,Y,,N,Y,Vascular,Roadsides. fields. stream banks. and waste places. Mostly an uncommon naturalized species.,Forb/herb,Perennial,,,Tanacetum vulgare L.,L.,,
red-seeded dandelion,Taraxacum erythrospermum,Asteraceae,Taraxacum,erythrospermum,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Taraxacum erythrospermum Andrz.,Andrz.,,
common dandelion,Taraxacum officinale,Asteraceae,Taraxacum,officinale,N,Y,,N,Y,Vascular,Lawns. roadsides. hayfields. cultivated ground. successional fields. thickets. disturbed soils. and waste places including in urban settings. A wide spread and common species it occurs almost everywhere in NY and can often be found in small amounts in fairly nice native habitats.,Forb/herb,Perennial,,,Taraxacum officinale F.H. Wigg.,F.H. Wigg.,,
marsh dandelion,Taraxacum palustre,Asteraceae,Taraxacum,palustre,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Taraxacum palustre (Lyons) Symons,(Lyons) Symons,,
Canada yew. American yew,Taxus canadensis,Taxaceae,Taxus,canadensis,Y,,9,N,Y,Vascular,Cool mesic to wet-mesic hardwood to mixed coniferous-hardwood forests. shaded talus slopes. and hummocks in swamps. Highly prized by deer and in areas with an overpopulation of deer becoming restricted to steep slopes and tops of boulders that are inaccessible to deer browse.,Shrub,Perennial,,,Taxus canadensis Marshall,Marshall,,
American germander,Teucrium canadense,Lamiaceae,Teucrium,canadense,Y,,4,N,Y,Vascular,Floodplain forests. alluvial thickets. edges of streams. and sand and gravel bars in streams. Sometimes somewhat weedy.,Forb/herb,Perennial,,,Teucrium canadense L.,L.,,
early meadow rue,Thalictrum dioicum,Ranunculaceae,Thalictrum,dioicum,Y,,7,N,Y,Vascular,Mesic hardwood forests and forest edges in thin to deep often calcareous or circumneutral soils.,Herbaceous,Perennial,,,Thalictrum dioicum L.,L.,,
tall meadow rue,Thalictrum pubescens,Ranunculaceae,Thalictrum,pubescens,Y,,4,N,Y,Vascular,Rich fens. stream banks. swamps. marshes. and wet thickets.,Forb/herb,Perennial,,,Thalictrum pubescens Pursh,Pursh,,
skunk meadow rue,Thalictrum revolutum,Ranunculaceae,Thalictrum,revolutum,Y,,8,N,Y,Vascular,Dry to dry-mesic openings in forests. forest edges. pine barrens. rocky open areas. dirt roadsides. and thickets.,Forb/herb,Perennial,,,Thalictrum revolutum DC.,DC.,,
rue anemone,Thalictrum thalictroides,Ranunculaceae,Thalictrum,thalictroides,Y,,7,N,Y,Vascular,Hardwood forests. forest edges. openings in forests. edges of forested dirt roads on mid to upper slopes and usually in thin dry-mesic coarse grained or rocky circumneutral to calcareous soils.,Forb/herb,Perennial,,,Thalictrum thalictroides (L.) A.J. Eames & B. Boivin,(L.) A.J. Eames & B. Boivin,,
hairy-jointed meadow parsnip,Thaspium barbinode,Apiaceae,Thaspium,barbinode,Y,,7,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Thaspium barbinode (Michx.) Nutt.,(Michx.) Nutt.,,
New York fern,Thelypteris noveboracensis,Thelypteridaceae,Thelypteris,noveboracensis,Y,,4,N,Y,Vascular,Mesic to dry-mesic forests and forest edges. Forming extensive dense populations along with Dennstaedtia punctilobula in sterile soils.,Forb/herb,Perennial,,,Thelypteris noveboracensis (L.) Nieuwl.,(L.) Nieuwl.,,
marsh fern,Thelypteris palustris var. pubescens,Thelypteridaceae,Thelypteris,palustris,Y,,4,N,Y,Vascular,Marshes. rich fens. and swamps; edges of ponds. lakes. and streams; and ditches and open wet thickets.,Forb/herb,Perennial,,,Thelypteris palustris Schott var. pubescens (G. Lawson) Fernald,Schott,var. pubescens,(G. Lawson) Fernald
field penny cress,Thlaspi arvense,Brassicaceae,Thlaspi,arvense,N,Y,,N,Y,Vascular,Cultivated ground. successional fields. roadsides. disturbed areas. and waste places.,Forb/herb,Annual,,,Thlaspi arvense L.,L.,,
northern white cedar. arbor vitae,Thuja occidentalis,Cupressaceae,Thuja,occidentalis,Y,,6,N,Y,Vascular,Calcareous cliffs and ledges. rocky summits. alvars. fens. and rich swamps. Grows in both xeric and wet. often cool sites. Mostly confined to calcareous soils and bedrock. In northern and cooler parts of New York it become less of a calciphile. In swamps it can from dense impenetrable stands.,Tree,Perennial,,,Thuja occidentalis L.,L.,,
large thyme,Thymus pulegioides,Lamiaceae,Thymus,pulegioides,N,Y,,N,Y,Vascular,,Subshrub. Shrub,Perennial,,,Thymus pulegioides L.,L.,,
foamflower,Tiarella cordifolia,Saxifragaceae,Tiarella,cordifolia,Y,,7,N,Y,Vascular,Mesic hardwood forests. edges of forested seeps. and hummocks in swamps. Generally found in valley bottoms or on lower slopes.,Forb/herb,Perennial,,,Tiarella cordifolia L.,L.,,
American basswood,Tilia americana var. americana,Malvaceae,Tilia,americana,Y,,7,N,Y,Vascular,Rich mesic forests. talus slopes. bases of rock outcrops. bluffs. and thin soil over calcareous bedrock. Although occurring throughout New York's mesic hardwood forests excepting the cooler parts of the state this species is most abundant in deep rich mesic soils of valley bottoms and lower slopes as well as on talus slopes and in association with rocky outcrops.,Tree,Perennial,,,Tilia americana L. var. americana,L.,var. americana,
erect hedge parsley,Torilis japonica,Apiaceae,Torilis,japonica,N,Y,,N,Y,Vascular,Roadsides. weedy forests. and thickets.  This species is widely scattered in New York but where it occurs it can be fairly dense. It seems to do well under moderate canopy cover.,Forb/herb,Annual,,,Torilis japonica (Houtt.) DC.,(Houtt.) DC.,,
Fernald s false manna grass,Torreyochloa pallida var. fernaldii,Poaceae,Torreyochloa,pallida,Y,,6,N,Y,Vascular,Edges of ponds and lakes. stream margins. and marshes. Often in slightly inundated to saturated mucky soils.,Graminoid,Perennial,,,Torreyochloa pallida (Torr.) G.L. Church var. fernaldii (Hitchc.) Dore,(Torr.) G.L. Church,var. fernaldii,(Hitchc.) Dore
midwestern poison ivy,Toxicodendron radicans ssp. negundo,Anacardiaceae,Toxicodendron,radicans,Y,,3,N,Y,Vascular,,Vine,Perennial,,,Toxicodendron radicans (L.) Kuntze ssp. negundo (Greene) Gillis,(L.) Kuntze,ssp. negundo,(Greene) Gillis
poison sumac,Toxicodendron vernix,Anacardiaceae,Toxicodendron,vernix,Y,,9,N,Y,Vascular,Swamps. calcareous marshes. and rich fens.  Although it does occur in swamps it does best in opening in swamps or where the canopy is not too dense.  It is mostly restricted to calcareous wet sites.,Tree. Shrub,Perennial,,,Toxicodendron vernix (L.) Kuntze,(L.) Kuntze,,
Virginia spiderwort,Tradescantia virginiana,Commelinaceae,Tradescantia,virginiana,N,Y,,N,Y,Vascular,Edges of railroads and disturbed soils.,Forb/herb,Perennial,,,Tradescantia virginiana L.,L.,,
fistulous salsify. fistulous goat s beard,Tragopogon dubius,Asteraceae,Tragopogon,dubius,N,Y,,N,Y,Vascular,,Herbaceous,Annual,,,Tragopogon dubius Scop.,Scop.,,
purple salsify. purple goat s beard,Tragopogon porrifolius,Asteraceae,Tragopogon,porrifolius,N,Y,,N,Y,Vascular,,Forb/herb,Biennial,,,Tragopogon porrifolius L.,L.,,
meadow salsify. meadow goat s beard,Tragopogon pratensis,Asteraceae,Tragopogon,pratensis,N,Y,,N,Y,Vascular,Fields and roadsides. Usually occurring in small numbers.,Forb/herb,Biennial,,,Tragopogon pratensis L.,L.,,
water chestnut,Trapa natans,Lythraceae,Trapa,natans,N,Y,,N,Y,Vascular,An invasive plant of ponds. lakes. bays. canals. and slow moving rivers with muddy bottoms.  It is very common on the Hudson River and Mohawk River.  This plant tends to grow in shallower water. rarely found in water deeper than 15 feet.,Forb/herb,Annual,,,Trapa natans L.,L.,,
lime-loving club sedge,Trichophorum alpinum,Cyperaceae,Trichophorum,alpinum,Y,,9,N,Y,Vascular,,Graminoid,Perennial,,,Trichophorum alpinum (L.) Pers.,(L.) Pers.,,
Clinton s club sedge,Trichophorum clintonii,Cyperaceae,Trichophorum,clintonii,Y,,10,N,Y,Vascular,,Graminoid,Perennial,Endangered-State,,Trichophorum clintonii (A. Gray) S.G. Sm.,(A. Gray) S.G. Sm.,,
woodland club sedge,Trichophorum planifolium,Cyperaceae,Trichophorum,planifolium,Y,,8,N,Y,Vascular,Dry to mesic hardwood forests of a southern affinity. woodlands. and bluffs. Often in forests with oaks and hickories dominant. Usually in forests that are not very weedy and the adjacent herbaceous layer is not very dense.,Graminoid,Perennial,,,Trichophorum planifolium (Spreng.) Palla,(Spreng.) Palla,,
purpletop,Tridens flavus var. flavus,Poaceae,Tridens,flavus,Y,,0,N,Y,Vascular,Roadsides. sandy successional fields. gravel pits. and openings in forests in dry to dry-mesic sandy or gravely soils.,Graminoid,Perennial,,,Tridens flavus (L.) Hitchc. var. flavus,(L.) Hitchc.,var. flavus,
rabbit foot clover,Trifolium arvense,Fabaceae,Trifolium,arvense,N,Y,,N,Y,Vascular,Roadsides. disturbed soils. and waste places. Varies greatly in its abundance in different parts of New York.,Forb/herb,Annual,,,Trifolium arvense L.,L.,,
large hop clover,Trifolium aureum,Fabaceae,Trifolium,aureum,N,Y,,N,Y,Vascular,Roadsides. pastures. successional fields. disturbed soils. and waste places. The most common of the yellow Trifolium species in New York.,Herbaceous,Biennial,,,Trifolium aureum Pollich,Pollich,,
pinnate hop clover,Trifolium campestre,Fabaceae,Trifolium,campestre,N,Y,,N,Y,Vascular,Roadsides and disturbed soils.,Herbaceous,Biennial,,,Trifolium campestre Schreb.,Schreb.,,
small hop clover,Trifolium dubium,Fabaceae,Trifolium,dubium,N,Y,,N,Y,Vascular,Roadsides and disturbed soils.,Forb/herb,Annual,,,Trifolium dubium Sibth.,Sibth.,,
alsike clover,Trifolium hybridum,Fabaceae,Trifolium,hybridum,N,Y,,N,Y,Vascular,Roadsides. hayfields. pastures. and disturbed soils. Common throughout New York but usually not very abundant at a site.,Herbaceous,Perennial,,,Trifolium hybridum L.,L.,,
scarlet clover. crimson clover,Trifolium incarnatum,Fabaceae,Trifolium,incarnatum,N,U,,N,Y,Vascular,,Forb/herb,Annual,,,Trifolium incarnatum L.,L.,,
red clover,Trifolium pratense,Fabaceae,Trifolium,pratense,N,Y,,N,Y,Vascular,Occasionally cultivated and widely naturalized to successional fields. pastures. hayfields. roadsides. and disturbed soils.,Herbaceous,Biennial,,,Trifolium pratense L.,L.,,
marsh arrow grass,Triglochin palustris,Juncaginaceae,Triglochin,palustris,Y,,10,N,Y,Vascular,Coastal salt marshes. rich fens. calcareous marshes. and rich peaty swamps.,Forb/herb,,Threatened-State,,Triglochin palustris L.,L.,,
purple trillium. stinking Benjamin,Trillium erectum,Melanthiaceae,Trillium,erectum,Y,,7,N,Y,Vascular,Mesic hardwood and hardwood-coniferous forests. Occurs in a wide variety of forested habitats although it is absent from the warmer drier more open sites.,Forb/herb,Perennial,,,Trillium erectum L.,L.,,
bent trillium,Trillium flexipes,Melanthiaceae,Trillium,flexipes,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Trillium flexipes Raf.,Raf.,,
white trillium,Trillium grandiflorum,Melanthiaceae,Trillium,grandiflorum,Y,,7,N,Y,Vascular,Rich mesic hardwood forests growing from the base of valleys to middle slopes. Sometimes forming dense large patches.,Forb/herb,Perennial,,,Trillium grandiflorum (Michx.) Salisb.,(Michx.) Salisb.,,
painted trillium,Trillium undulatum,Melanthiaceae,Trillium,undulatum,Y,,7,N,Y,Vascular,Cool coniferous. northern hardwood. and hardwood-coniferous forests. Sometimes on hummock in swamps. In more southern parts of New York often under Tsuga canadensis. Most common in the northern and cooler parts of New York.,Herbaceous,Perennial,,,Trillium undulatum Willd.,Willd.,,
common Venus s looking glass,Triodanis perfoliata,Campanulaceae,Triodanis,perfoliata,Y,,7,N,Y,Vascular,Burned over forests. woodlands. thin forests. rocky outcrops and summits. trail and dirt road edges. railroad edges. and disturbed areas. A species of disturbed or thin mostly dry to a little moister soils. ,Forb/herb,Annual,,,Triodanis perfoliata (L.) Nieuwl.,(L.) Nieuwl.,,
orange-fruited horse gentian,Triosteum aurantiacum,Caprifoliaceae,Triosteum,aurantiacum,Y,,7,N,Y,Vascular,Rich forests. edges of forests. stream sides. and thickets often in deep and/or calcareous soils. The soils vary from mesic to dry. Plants are usually not present throughout a site but are more restricted to a few dense patches.,Forb/herb,Perennial,,,Triosteum aurantiacum E.P. Bicknell,E.P. Bicknell,,
perfoliate-leaved horse gentian,Triosteum perfoliatum,Caprifoliaceae,Triosteum,perfoliatum,Y,,8,N,Y,Vascular,,Forb/herb,Perennial,,,Triosteum perfoliatum L.,L.,,
three birds orchid,Triphora trianthophoros ssp. trianthophoros,Orchidaceae,Triphora,trianthophoros,Y,,10,N,Y,Vascular,Cool mesic to wet-mesic forests sometimes associated with Tsuga canadensis.,Herbaceous,Perennial,Threatened-State,,Triphora trianthophoros (Sw.) Rydb. ssp. trianthophoros,(Sw.) Rydb.,ssp. trianthophoros,
purple sand grass,Triplasis purpurea var. purpurea,Poaceae,Triplasis,purpurea,Y,,4,N,Y,Vascular,Primarily occurs on maritime beaches and dunes. and disturbed open sandy areas near the coast.,Graminoid,Annual,,,Triplasis purpurea (Walter) Chapm. var. purpurea,(Walter) Chapm.,var. purpurea,
scentless mayweed,Tripleurospermum inodorum,Asteraceae,Tripleurospermum,inodorum,N,Y,,N,Y,Vascular,,Forb/herb,Annual,,,Tripleurospermum inodorum (L.) Sch. Bip.,(L.) Sch. Bip.,,
common wheat,Triticum aestivum,Poaceae,Triticum,aestivum,N,N,,N,Y,Vascular,,Graminoid,Annual,,,Triticum aestivum L.,L.,,
eastern hemlock,Tsuga canadensis,Pinaceae,Tsuga,canadensis,Y,,7,N,Y,Vascular,A component of mesic cool northern forests throughout New York. In these sites it more often occurs with hardwoods and Pinus strobus than with other conifers. Also commonly on hummocks in swamps where it can sometimes form dense pure stands; often in pure stands. in ravines and on north and east facing lower slopes; and on rocky outcrops and bluffs.,Tree,Perennial,,,Tsuga canadensis (L.) Carrière,(L.) Carrière,,
tower mustard,Turritis glabra,Brassicaceae,Turritis,glabra,Y,,2,N,Y,Vascular,Successional fields. roadsides. and disturbed places often in thin dry soils. A native species almost always found in non-native habitats.,Forb/herb,,,,Turritis glabra L.,L.,,
coltsfoot,Tussilago farfara,Asteraceae,Tussilago,farfara,N,Y,,N,Y,Vascular,Roadsides. slumping banks of streams. gravel bars in streams. logging roads. swamps. and waste places. A very common naturalized plant it is found almost everywhere including isolated natural environments. It does really well on slumping banks of streams in clay soils.,Forb/herb,Perennial,,,Tussilago farfara L.,L.,,
narrow-leaved cattail,Typha angustifolia,Typhaceae,Typha,angustifolia,Y,,1,N,Y,Vascular,Brackish and fresh tidal and non-tidal marshes. ditches. pond and lake edges. openings in swamps. and wet thickets. Although the prominent cattail of saline areas it is also widespread in non-saline habitats.,Forb/herb,Perennial,,,Typha angustifolia L.,L.,,
wide-leaved cattail,Typha latifolia,Typhaceae,Typha,latifolia,Y,,1,N,Y,Vascular,Fresh tidal and non-tidal marshes. ditches. pond and lake edges. stream sides. swamps. wet thickets. and rich fens.,Forb/herb,Perennial,,,Typha latifolia L.,L.,,
American elm,Ulmus americana,Ulmaceae,Ulmus,americana,Y,,4,N,Y,Vascular,Wet thickets. stream edges. swamps. roadsides. mesic to wet forests. and forest edges. In wet to mesic often nutrient rich soils. Still a rather common tree even after the introduction of Dutch Elm Disease although perhaps not as significant of a component of bottom land and wet-mesic forests and not growing as large as in the past.,Tree,Perennial,,,Ulmus americana L.,L.,,
English elm,Ulmus procera,Ulmaceae,Ulmus,procera,N,N,,N,Y,Vascular,,Tree,Perennial,,,Ulmus procera Salisb.,Salisb.,,
Siberian elm,Ulmus pumila,Ulmaceae,Ulmus,pumila,N,Y,,N,Y,Vascular,,Tree. Shrub,Perennial,,,Ulmus pumila L.,L.,,
slippery elm,Ulmus rubra,Ulmaceae,Ulmus,rubra,Y,,8,N,Y,Vascular,Dry to mesic forests. forest edges. openings in forests. rock outcrops. and stream sides generally in calcareous sites.,Tree,Perennial,,,Ulmus rubra Muhl.,Muhl.,,
rock elm,Ulmus thomasii,Ulmaceae,Ulmus,thomasii,Y,,8,N,Y,Vascular,Rocky ridges and summits. rock outcrops. cracks and thin soils over bedrock. and woodlands. Primarily in dry soils over calcareous bedrock.,Tree,Perennial,Threatened-State,,Ulmus thomasii Sarg.,Sarg.,,
European stinging nettle,Urtica dioica ssp. dioica,Urticaceae,Urtica,dioica,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Urtica dioica L. ssp. dioica,L.,ssp. dioica,
American stinging nettle,Urtica gracilis ssp. gracilis,Urticaceae,Urtica,gracilis,Y,,2,N,Y,Vascular,High and low forested floodplain terraces. floodplain thickets. and gravel and sand bars in streams.,Forb/herb,Perennial,,,Urtica gracilis Aiton ssp. gracilis,Aiton,ssp. gracilis,
burning nettle. dog nettle,Urtica urens,Urticaceae,Urtica,urens,N,U,,N,Y,Vascular,,Forb/herb,Annual,,,Urtica urens L.,L.,,
flat-leaved bladderwort,Utricularia intermedia,Lentibulariaceae,Utricularia,intermedia,Y,,9,N,Y,Vascular,Quiet water of ponds and edges of lakes.,Forb/herb,Annual,,,Utricularia intermedia Hayne,Hayne,,
